inst_id,source,name,country,city_expected,homepage,csrankings_faculty,ror_query,ror_id,ror_name,ror_city,lat,lon,score,similarity,domain_match,coords_from,city_note,override_note,status
nl-cwi,csrankings,CWI,nl,,https://www.cwi.nl/en/,45,Centrum Wiskunde & Informatica,00x7ekv49,Centrum Wiskunde & Informatica,Amsterdam,52.37403,4.88969,1.00,1.00,1,,,,auto
no-ntnu,csrankings,NTNU,no,,https://www.ntnu.edu/idi,44,Norwegian University of Science and Technology,05xg72x27,Norwegian University of Science and Technology,Trondheim,63.43049,10.39506,1.00,1.00,0,,,,auto
de-university-of-stuttgart,csrankings,University of Stuttgart,de,,https://www.f05.uni-stuttgart.de/en/cs/,43,University of Stuttgart,04vnq7t77,University of Stuttgart,Stuttgart,48.78232,9.17702,1.00,1.00,0,,,,auto
it-university-of-trento,csrankings,University of Trento,it,,https://disi.unitn.it,43,University of Trento,05trd4x28,University of Trento,Trento,46.06787,11.12108,1.00,1.00,1,,,,auto
cz-charles-university,csrankings,Charles University,cz,,https://cs.mff.cuni.cz/en,41,Charles University,024d6js02,Charles University,Prague,50.08804,14.42076,1.00,1.00,1,,,,auto
de-ruhr-university-bochum,csrankings,Ruhr-University Bochum,de,,https://www.ini.rub.de,41,Ruhr-University Bochum,04tsk2644,Ruhr University Bochum,Bochum,51.48165,7.21648,0.95,0.95,0,,,,auto
de-university-of-hamburg,csrankings,University of Hamburg,de,,https://www.inf.uni-hamburg.de/en.html,41,University of Hamburg,00g30e956,Universität Hamburg,Hamburg,53.55073,9.99302,1.00,1.00,0,,,,auto
nl-leiden-university,csrankings,Leiden University,nl,,https://liacs.leidenuniv.nl/,41,Leiden University,027bh9e22,Leiden University,Leiden,52.15833,4.49306,1.00,1.00,0,,,,auto
it-univ-of-modena-and-reggio-emilia,csrankings,Univ. of Modena and Reggio Emilia,it,,https://personale.unimore.it,40,Univ. of Modena and Reggio Emilia,02d4c4y02,University of Modena and Reggio Emilia,Modena,44.64783,10.92539,0.86,0.90,1,,,,auto
at-jku-linz,csrankings,JKU Linz,at,,https://informatik.jku.at/,39,Johannes Kepler University Linz,052r2xn60,Johannes Kepler University of Linz,Linz,48.30639,14.28611,0.94,0.95,1,,,Matched Sigmund Freud Privatuniversität,auto
de-tu-kaiserslautern,csrankings,TU Kaiserslautern,de,,https://anthonywlin.github.io,39,Rheinland-Pfälzische Technische Universität Kaiserslautern-Landau,01qrts582,Rheinland-Pfälzische Technische Universität Kaiserslautern-Landau,Landau,49.19844,8.11692,1.00,1.00,0,,,"Matched the Hochschule Kaiserslautern, a different institution in the same city",auto
gb-durham-university,csrankings,Durham University,gb,,https://www.durham.ac.uk/departments/academic/computer-science/,39,Durham University,01v29qb04,Durham University,Durham,54.77676,-1.57566,1.00,1.00,0,,,,auto
